"ky before 2015","T anomaly"
0.015,0
0.021,0
0.028,0
0.033,0
0.04,0
0.047,0
0.054,0
0.062,0
0.07,0
0.079,0
0.087,0
0.096,0
0.103,0.44
0.112,0.92
0.12,1.52
0.129,0.175
0.138,-0.21
0.147,0.025
0.156,0.025
0.165,-0.26
0.175,0.395
0.184,-0.275
0.194,-0.555
0.205,0.19
0.215,-0.2
0.226,0.525
0.236,0.14
0.246,-0.36
0.256,-0.615
0.267,0.255
0.277,-1.22
0.288,0.21
0.299,0.42
0.31,0.355
0.32,-0.01
0.332,-0.07
0.343,-0.705
0.354,-0.17
0.366,0.08
0.377,-0.61
0.389,-0.205
0.401,-0.295
0.412,0.015
0.424,-0.335
0.436,-0.45
0.448,-0.765
0.46,-0.235
0.472,-0.06
0.484,0.105
0.495,-0.865
0.507,0.08
0.519,0.07
0.531,-0.28
0.543,-0.4
0.555,0.21
0.568,-1.18
0.581,-0.425
0.594,-0.18
0.607,0.63
0.62,0.35
0.633,-0.385
0.646,0.7
0.659,-0.435
0.671,-0.405
0.684,0.73
0.697,0.49
0.71,0.135
0.723,-0.48
0.737,-0.305
0.752,-0.315
0.766,-0.245
0.78,-0.48
0.794,-0.72
0.809,-0.455
0.824,-0.05
0.837,-0.08
0.851,0.16
0.864,0.015
0.877,0.28
0.89,0.47
0.902,0.585
0.914,0.75
0.927,-0.515
0.94,0.295
0.954,-0.705
0.968,0.46
0.982,-0.515
0.997,-0.335
1.012,-0.275
1.026,-0.375
1.041,0.19
1.055,-0.2
1.07,-0.22
1.084,-0.475
1.097,0.07
1.112,0.495
1.126,0.18
1.14,-0.375
1.154,-0.4
1.169,0.36
1.183,-0.27
1.198,0.775
1.212,-0.45
1.226,-0.17
1.239,0.465
1.253,0.515
1.266,0.44
1.28,-0.27
1.294,0.29
1.309,0.185
1.323,0.135
1.338,-0.08
1.352,-0.15
1.367,0.615
1.381,0.11
1.395,0.445
1.41,-0.085
1.424,0.775
1.438,0.445
1.452,-0.085
1.466,-0.01
1.481,-0.24
1.497,-0.35
1.513,-0.225
1.528,0.52
1.544,-0.465
1.559,-0.16
1.575,-0.27
1.59,-0.135
1.606,0.45
1.621,-0.46
1.637,0.02
1.653,0.12
1.669,-0.575
1.686,-0.42
1.702,0.365
1.719,-0.62
1.735,0.21
1.751,0.175
1.767,-0.405
1.785,-0.28
1.802,-0.055
1.819,0.05
1.836,0.275
1.852,-0.705
1.869,0.125
1.887,-0.52
1.904,-0.495
1.921,0.175
1.938,-0.53
1.954,0.895
1.97,0
1.987,0.005
2.003,-0.19
2.021,0.09
2.038,-0.15
2.055,-0.365
2.072,-0.54
2.09,-0.01
2.109,-0.46
2.126,0.81
2.143,-0.35
2.16,-0.37
2.178,0.22
2.195,-0.32
2.212,-0.17
2.23,-0.51
2.249,-0.24
2.267,-0.23
2.284,0.1
2.302,0.43
2.318,0.15
2.336,-0.175
2.354,0.085
2.371,-1.025
2.392,-0.705
2.412,-0.315
2.432,-0.415
2.45,-0.47
2.47,-0.985
2.489,-0.39
2.508,0
2.528,-0.325
2.546,-0.315
2.565,0.08
2.583,-0.225
2.6,0.46
2.618,-0.055
2.636,0.255
2.654,-0.385
2.672,0.185
2.69,0.425
2.707,0.045
2.724,-0.095
2.743,-0.28
2.762,-0.1
2.78,-0.44
2.798,0.645
2.815,0.445
2.832,0.405
2.849,0.455
2.866,0.005
2.883,0.66
2.9,0.56
2.917,0.56
2.935,0.02
2.953,-0.32
2.971,-0.5
2.989,0.285
3.008,0.145
3.026,-0.17
3.045,-0.455
3.065,-0.005
3.084,-0.255
3.102,0.05
3.121,0.075
3.139,-0.015
3.157,0.315
3.175,0.475
3.194,0.635
3.212,-0.73
3.23,-0.455
3.251,-0.65
3.272,0.31
3.292,-0.41
3.312,-0.88
3.332,0.235
3.352,-0.37
3.372,-0.525
3.391,0.35
3.411,-0.355
3.43,-0.72
3.45,-0.005
3.47,-0.14
3.49,-0.22
3.51,-0.09
3.53,-0.01
3.549,0.23
3.568,-0.52
3.587,0.675
3.606,0.075
3.624,-0.145
3.643,0.08
3.663,-0.335
3.683,0.46
3.701,0.385
3.719,0.085
3.737,0.31
3.756,0.515
3.774,-0.51
3.792,0.68
3.811,0.63
3.829,-0.785
3.848,0.535
3.867,0.04
3.887,0.13
3.907,-0.35
3.926,-0.46
3.946,0.36
3.965,-0.06
3.985,-0.26
4.005,-0.095
4.025,-0.205
4.045,0.2
4.064,-0.28
4.084,-0.295
4.103,0.39
4.122,0.405
4.141,-0.58
4.16,0.445
4.18,0.41
4.199,-0.295
4.219,-0.21
4.238,0.03
4.258,0.25
4.277,-0.785
4.296,0.335
4.315,0.655
4.334,-0.1
4.353,0.68
4.372,-0.24
4.391,-0.515
4.412,0
4.432,0.145
4.452,0.02
4.471,-0.16
4.491,-0.45
4.51,0.175
4.53,0.665
4.549,-0.195
4.568,0.39
4.586,-0.35
4.607,-0.2
4.627,-0.4
4.647,0.005
4.667,0.08
4.687,0.135
