"млн лет назад","T anomaly"
0,0.36
0.001,0.36
0.002,0.62
0.003,0.13
0.004,0.1
0.005,0.22
0.006,0.02
0.007,-0.1
0.008,-0.25
0.009,-0.13
0.01,-0.54
0.011,-0.78
0.012,-1.72
0.013,-2.13
0.014,-2.77
0.015,-3.39
0.016,-4.15
0.017,-4.53
0.018,-4.94
0.019,-4.77
0.02,-4.85
0.021,-4.62
0.022,-4.53
0.023,-4.47
0.024,-4.33
0.025,-4.36
0.026,-3.92
0.027,-4.15
0.028,-4.15
0.029,-4.09
0.03,-3.77
0.031,-3.77
0.032,-3.71
0.033,-3.65
0.034,-3.68
0.035,-3.53
0.036,-3.27
0.037,-3.3
0.038,-3.15
0.039,-3.56
0.04,-3.56
0.041,-3.45
0.042,-3.42
0.043,-3.3
0.044,-3.36
0.045,-2.92
0.046,-3.01
0.047,-3.06
0.048,-3.27
0.049,-3.3
0.05,-2.95
0.051,-2.92
0.052,-2.86
0.053,-3.24
0.054,-3.06
0.055,-2.86
0.056,-2.98
0.057,-3.21
0.058,-3.39
0.059,-3.21
0.06,-3.71
0.061,-3.45
0.062,-3.71
0.063,-3.5
0.064,-3.01
0.065,-3.36
0.066,-3.62
0.067,-3.24
0.068,-3.18
0.069,-3.33
0.07,-2.89
0.071,-2.6
0.072,-2.57
0.073,-2.62
0.074,-2.04
0.075,-1.8
0.076,-2.13
0.077,-2.18
0.078,-2.1
0.079,-2.1
0.08,-1.66
0.081,-1.42
0.082,-1.36
0.083,-1.45
0.084,-1.42
0.085,-1.8
0.086,-2.13
0.087,-2.48
0.088,-2.27
0.089,-2.18
0.09,-2.13
0.091,-2.04
0.092,-1.89
0.093,-1.66
0.094,-1.48
0.095,-1.28
0.096,-1.22
0.097,-1.45
0.098,-1.66
0.099,-1.3
0.1,-1.39
0.101,-1.72
0.102,-1.54
0.103,-1.6
0.104,-1.72
0.105,-1.51
0.106,-1.95
0.107,-2.07
0.108,-2.27
0.109,-2.3
0.11,-2.07
0.111,-2.01
0.112,-2.04
0.113,-1.74
0.114,-1.39
0.115,-1.1
0.116,-0.72
0.117,-0.6
0.118,-0.31
0.119,0.1
0.12,0.19
0.121,0.22
0.122,0.62
0.123,1.05
0.124,0.19
0.125,0.84
0.126,0.73
0.127,-0.1
0.128,-1.1
0.129,-1.66
0.13,-0.98
0.131,-1.39
0.132,-2.54
0.133,-3.15
0.134,-4
0.135,-4.47
0.136,-4.36
0.137,-4.3
0.138,-4.56
0.139,-4.5
0.14,-4.82
0.141,-4.33
0.142,-4.15
0.143,-4.24
0.144,-4.36
0.145,-4.12
0.146,-4.21
0.147,-4.36
0.148,-4.03
0.149,-4.15
0.15,-4.15
0.151,-3.89
0.152,-3.83
0.153,-3.77
0.154,-3.89
0.155,-3.45
0.156,-4.24
0.157,-4.12
0.158,-3.97
0.159,-3.89
0.16,-3.97
0.161,-3.86
0.162,-3.89
0.163,-4
0.164,-3.94
0.165,-3.94
0.166,-3.36
0.167,-3.15
0.168,-3.36
0.169,-3.42
0.17,-3.42
0.171,-3.5
0.172,-3.3
0.173,-3.06
0.174,-2.77
0.175,-2.89
0.176,-3.09
0.177,-3.3
0.178,-3.24
0.179,-3.36
0.18,-3.09
0.181,-3.3
0.182,-3.36
0.183,-3.04
0.184,-3.12
0.185,-3.68
0.186,-3.33
0.187,-3.12
0.188,-3.3
0.189,-3.09
0.19,-2.77
0.191,-2.33
0.192,-1.25
0.193,-1.72
0.194,-1.48
0.195,-1.69
0.196,-1.42
0.197,-1.19
0.198,-1.42
0.199,-0.69
0.2,-0.57
0.201,-0.57
0.202,-0.86
0.203,-0.81
0.204,-1.3
0.205,-1.42
0.206,-1.28
0.207,-1.3
0.208,-1.1
0.209,-0.89
0.21,-0.69
0.211,-0.78
0.212,-0.81
0.213,-0.92
0.214,-0.66
0.215,-0.6
0.216,-0.57
0.217,-0.42
0.218,-1.13
0.219,-1.77
0.22,-1.89
0.221,-2.62
0.222,-3.06
0.223,-3.24
0.224,-3.09
0.225,-2.77
0.226,-2.8
0.227,-2.51
0.228,-2.51
0.229,-2.01
0.23,-2.83
0.231,-2.6
0.232,-2.45
0.233,-1.86
0.234,-1.48
0.235,-1.1
0.236,-0.95
0.237,-0.4
0.238,-0.51
0.239,-0.31
0.24,-0.31
0.241,-0.6
0.242,-1.01
0.243,-1.3
0.244,-2.1
0.245,-2.45
0.246,-3.06
0.247,-2.86
0.248,-3.06
0.249,-3.01
0.25,-3.42
0.251,-3.65
0.252,-3.8
0.253,-3.48
0.254,-3.62
0.255,-3.04
0.256,-3.21
0.257,-3.56
0.258,-3.45
0.259,-3.48
0.26,-3.3
0.261,-3.48
0.262,-3.27
0.263,-3.3
0.264,-3.18
0.265,-3.24
0.266,-3.42
0.267,-3.42
0.268,-2.92
0.269,-3.48
0.27,-3.45
0.271,-3.42
0.272,-3.24
0.273,-3.24
0.274,-3.06
0.275,-3.06
0.276,-2.83
0.277,-3.24
0.278,-2.86
0.279,-2.62
0.28,-2.36
0.281,-2.57
0.282,-1.89
0.283,-1.57
0.284,-1.54
0.285,-1.48
0.286,-1.42
0.287,-1.63
0.288,-2.01
0.289,-2.13
0.29,-2.24
0.291,-2.27
0.292,-2.74
0.293,-2.6
0.294,-2.92
0.295,-2.86
0.296,-2.62
0.297,-2.83
0.298,-2.45
0.299,-2.62
0.3,-2.01
0.301,-2.13
0.302,-2.13
0.303,-1.95
0.304,-2.16
0.305,-2.16
0.306,-2.1
0.307,-1.95
0.308,-1.51
0.309,-1.54
0.31,-1.36
0.311,-1.07
0.312,-1.33
0.313,-1.04
0.314,-1.28
0.315,-0.84
0.316,-1.04
0.317,-1.63
0.318,-1.25
0.319,-0.72
0.32,-0.95
0.321,-0.57
0.322,-0.57
0.323,-0.4
0.324,0.46
0.325,0.07
0.326,0.36
0.327,0.41
0.328,0.36
0.329,0.57
0.33,0.1
0.331,0.13
0.332,-0.16
0.333,-0.13
0.334,-0.51
0.335,-1.22
0.336,-2.18
0.337,-2.62
0.338,-2.45
0.339,-3.18
0.34,-3.71
0.341,-4.41
0.342,-4.38
0.343,-4.3
0.344,-4.18
0.345,-4.27
0.346,-3.94
0.347,-3.5
0.348,-3.39
0.349,-3.77
0.35,-3.92
0.351,-3.83
0.352,-3.33
0.353,-3.33
0.354,-3.12
0.355,-3.68
0.356,-3.3
0.357,-3.56
0.358,-3.65
0.359,-3.39
0.36,-3.53
0.361,-3.42
0.362,-3.42
0.363,-3.5
0.364,-3.01
0.365,-3.3
0.366,-2.89
0.367,-3.04
0.368,-3.12
0.369,-3.06
0.37,-3.01
0.371,-2.74
0.372,-3.18
0.373,-2.8
0.374,-2.95
0.375,-2.54
0.376,-2.57
0.377,-2.54
0.378,-2.51
0.379,-2.45
0.38,-2.51
0.381,-2.39
0.382,-2.1
0.383,-2.3
0.384,-2.18
0.385,-2.36
0.386,-2.01
0.387,-1.92
0.388,-1.72
0.389,-1.63
0.39,-1.83
0.391,-1.95
0.392,-1.86
0.393,-1.54
0.394,-1.72
0.395,-1.25
0.396,-1.13
0.397,-0.4
0.398,-0.6
0.399,-0.42
0.4,0.04
0.401,0.52
0.402,0.68
0.403,0.78
0.404,0.52
0.405,1
0.406,0.57
0.407,0.46
0.408,0.68
0.409,0.41
0.41,0.78
0.411,0.13
0.412,0.07
0.413,-0.13
0.414,-0.22
0.415,-0.22
0.416,-0.51
0.417,-0.69
0.418,-1.22
0.419,-1.39
0.42,-1.28
0.421,-1.51
0.422,-1.77
0.423,-2.01
0.424,-1.72
0.425,-2.83
0.426,-3.42
0.427,-2.83
0.428,-4.06
0.429,-4.62
0.43,-4.82
0.431,-5.03
0.432,-5.03
0.433,-5.12
0.434,-5.12
0.435,-4.94
0.436,-5.09
0.437,-4.59
0.438,-4.27
0.439,-4.5
0.44,-4.18
0.441,-4.74
0.442,-4.77
0.443,-4.62
0.444,-4.36
0.445,-4.62
0.446,-4.36
0.447,-3.45
0.448,-4.21
0.449,-4.09
0.45,-4.15
0.451,-3.65
0.452,-4.09
0.453,-3.59
0.454,-3.71
0.455,-3.15
0.456,-3.77
0.457,-3.8
0.458,-3.56
0.459,-3.8
0.46,-3.59
0.461,-3.68
0.462,-3.74
0.463,-3.74
0.464,-3.24
0.465,-3.62
0.466,-3.3
0.467,-3.24
0.468,-3.06
0.469,-3.45
0.47,-2.92
0.471,-2.68
0.472,-2.89
0.473,-3.01
0.474,-3.09
0.475,-2.98
0.476,-2.83
0.477,-2.74
0.478,-2.6
0.479,-2.3
0.48,-2.3
0.481,-2.45
0.482,-1.98
0.483,-1.86
0.484,-1.33
0.485,-1.39
0.486,-1.25
0.487,-1.13
0.488,-0.98
0.489,-0.78
0.49,-0.6
0.491,-0.4
0.492,-0.86
0.493,-1.13
0.494,-1.45
0.495,-1.45
0.496,-1.45
0.497,-1.01
0.498,-1.42
0.499,-1.22
0.5,-1.48
0.501,-1.3
0.502,-1.22
0.503,-1.39
0.504,-1.69
0.505,-1.54
0.506,-1.98
0.507,-1.74
0.508,-2.42
0.509,-2.13
0.51,-2.36
0.511,-2.13
0.512,-2.6
0.513,-2.68
0.514,-2.24
0.515,-2.24
0.516,-1.98
0.517,-1.83
0.518,-2.16
0.519,-1.83
0.52,-1.8
0.521,-1.69
0.522,-1.6
0.523,-1.74
0.524,-1.45
0.525,-1.72
0.526,-1.86
0.527,-1.83
0.528,-1.72
0.529,-1.92
0.53,-1.86
0.531,-1.72
0.532,-1.98
0.533,-2.27
0.534,-2.74
0.535,-2.8
0.536,-3.56
0.537,-3.21
0.538,-3.53
0.539,-3.36
0.54,-3.5
0.541,-3.42
0.542,-3.27
0.543,-3.27
0.544,-3.3
0.545,-3.21
0.546,-3.45
0.547,-3.5
0.548,-3.56
0.549,-3.5
0.55,-3.42
0.551,-3.27
0.552,-3.48
0.553,-3.3
0.554,-2.8
0.555,-2.68
0.556,-3.09
0.557,-2.98
0.558,-2.68
0.559,-2.45
0.56,-2.36
0.561,-2.57
0.562,-2.36
0.563,-2.45
0.564,-1.98
0.565,-1.83
0.566,-1.54
0.567,-1.77
0.568,-1.95
0.569,-1.86
0.57,-1.69
0.571,-1.63
0.572,-0.75
0.573,-0.92
0.574,-1.16
0.575,-0.16
0.576,-0.37
0.577,-0.42
0.578,-0.48
0.579,-0.69
0.58,-1.04
0.581,-1.95
0.582,-2.33
0.583,-2.8
0.584,-2.86
0.585,-2.92
0.586,-2.48
0.587,-2.27
0.588,-2.51
0.589,-2.16
0.59,-2.21
0.591,-2.16
0.592,-2.01
0.593,-1.92
0.594,-1.66
0.595,-1.6
0.596,-1.63
0.597,-1.36
0.598,-1.92
0.599,-2.01
0.6,-2.16
0.602,-1.86
0.604,-1.28
0.606,-1.36
0.608,-1.36
0.61,-0.45
0.612,-0.54
0.614,-0.57
0.616,-0.95
0.618,-1.39
0.62,-2.21
0.622,-2.86
0.624,-3.8
0.626,-4.59
0.628,-4.91
0.63,-5.12
0.632,-5.03
0.634,-4.68
0.636,-4.88
0.638,-4.3
0.64,-4.91
0.642,-4.15
0.644,-3.94
0.646,-4.06
0.648,-4.15
0.65,-4.03
0.652,-4.27
0.654,-4.21
0.656,-3.62
0.658,-3.65
0.66,-3.83
0.662,-4.3
0.664,-3.65
