"ky before 2015","T anomaly"
0.075,0.60
0.095,-0.10
0.115,-0.26
0.135,-0.26
0.155,-0.19
0.175,-0.16
0.195,-0.15
0.215,-0.25
0.235,-0.22
0.255,-0.22
0.275,-0.37
0.295,-0.35
0.315,-0.37
0.335,-0.35
0.355,-0.33
0.375,-0.32
0.395,-0.30
0.415,-0.29
0.435,-0.27
0.455,-0.24
0.475,-0.22
0.495,-0.25
0.515,-0.23
0.535,-0.23
0.555,-0.21
0.575,-0.28
0.595,-0.26
0.615,-0.18
0.635,-0.17
0.655,-0.16
0.675,-0.13
0.695,-0.12
0.715,-0.13
0.735,-0.14
0.755,-0.12
0.775,-0.13
0.795,-0.20
0.815,-0.19
0.835,-0.18
0.855,-0.14
0.875,-0.11
0.895,-0.10
0.915,-0.09
0.935,-0.09
0.955,-0.09
0.975,-0.08
0.995,-0.08
1.015,-0.08
1.035,-0.07
1.055,-0.05
1.075,-0.06
1.095,-0.05
1.115,-0.04
1.135,-0.03
1.155,-0.02
1.175,0.00
1.195,0.00
1.215,0.00
1.235,0.00
1.255,0.00
1.275,0.00
1.295,-0.02
1.315,-0.02
1.335,-0.02
1.355,-0.02
1.375,-0.02
1.395,-0.03
1.415,-0.02
1.435,-0.02
1.455,-0.02
1.475,-0.02
1.495,-0.02
1.515,-0.07
1.535,-0.07
1.555,-0.08
1.575,-0.07
1.595,-0.06
1.615,-0.07
1.635,-0.07
1.655,-0.07
1.675,-0.07
1.695,-0.07
1.715,-0.07
1.735,-0.07
1.755,-0.07
1.775,-0.07
1.795,-0.07
1.815,-0.07
1.835,-0.06
1.855,-0.06
1.875,-0.06
1.895,-0.06
1.915,-0.06
1.935,-0.06
1.955,-0.06
1.975,-0.06
1.995,-0.06
2.015,-0.06
2.035,-0.06
2.055,-0.05
2.075,-0.05
2.095,-0.04
2.115,-0.03
2.135,-0.03
2.155,-0.02
2.175,-0.02
2.195,-0.02
2.215,-0.01
2.235,-0.01
2.255,-0.01
2.275,0.00
2.295,0.00
2.315,0.01
2.335,0.01
2.355,0.01
2.375,0.01
2.395,0.02
2.415,0.02
2.435,0.02
2.455,0.02
2.475,0.03
2.495,0.04
2.515,0.04
2.535,0.04
2.555,0.04
2.575,0.04
2.595,0.04
2.615,0.04
2.635,0.04
2.655,0.04
2.675,0.04
2.695,0.04
2.715,0.04
2.735,0.04
2.755,0.04
2.775,0.05
2.795,0.05
2.815,0.05
2.835,0.05
2.855,0.06
2.875,0.06
2.895,0.06
2.915,0.06
