AD,Anomaly
1850,-0.21
1851,-0.07
1852,-0.24
1853,-0.25
1854,-0.19
1855,-0.08
1856,-0.02
1857,-0.34
1858,-0.23
1859,-0.07
1860,-0.20
1861,-0.53
1862,-0.50
1863,-0.26
1864,-0.26
1865,-0.23
1866,0.01
1867,-0.31
1868,-0.25
1869,0.12
1870,-0.28
1871,-0.32
1872,-0.27
1873,-0.22
1874,-0.20
1875,-0.21
1876,-0.42
1877,-0.07
1878,0.21
1879,-0.14
1880,-0.39
1881,-0.13
1882,-0.09
1883,-0.33
1884,-0.15
1885,-0.28
1886,-0.36
1887,-0.45
1888,-0.28
1889,0.23
1890,-0.36
1891,-0.53
1892,-0.10
1893,-0.48
1894,-0.46
1895,-0.35
1896,-0.16
1897,-0.20
1898,-0.30
1899,-0.34
1900,0.04
1901,-0.10
1902,-0.05
1903,-0.21
1904,-0.52
1905,-0.49
1906,-0.21
1907,-0.48
1908,-0.25
1909,-0.42
1910,-0.40
1911,-0.58
1912,-0.19
1913,-0.37
1914,-0.12
1915,-0.02
1916,-0.14
1917,-0.63
1918,-0.44
1919,-0.24
1920,-0.20
1921,-0.26
1922,-0.41
1923,-0.33
1924,-0.18
1925,-0.36
1926,0.04
1927,-0.16
1928,-0.12
1929,-0.44
1930,-0.23
1931,-0.18
1932,-0.20
1933,-0.29
1934,-0.08
1935,0.12
1936,-0.27
1937,0.00
1938,0.05
1939,-0.06
1940,0.12
1941,0.33
1942,0.02
1943,0.08
1944,0.28
1945,0.08
1946,0.02
1947,0.03
1948,-0.09
1949,-0.11
1950,-0.21
1951,-0.38
1952,0.12
1953,0.17
1954,-0.05
1955,-0.18
1956,-0.16
1957,-0.07
1958,0.20
1959,0.10
1960,0.16
1961,0.17
1962,0.15
1963,0.21
1964,-0.11
1965,-0.16
1966,-0.03
1967,-0.19
1968,-0.13
1969,-0.06
1970,0.20
1971,-0.15
1972,-0.13
1973,0.34
1974,-0.26
1975,0.10
1976,-0.08
1977,0.20
1978,0.16
1979,-0.04
1980,0.46
1981,0.43
1982,0.21
1983,0.45
1984,0.20
1985,0.04
1986,0.40
1987,0.38
1988,0.46
1989,0.32
1990,0.38
1991,0.50
1992,0.43
1993,0.39
1994,0.06
1995,0.76
1996,0.50
1997,0.37
1998,0.81
1999,0.64
2000,0.55
2001,0.43
2002,0.68
2003,0.62
2004,0.71
2005,0.63
2006,0.77
2007,0.71
2008,0.33
2009,0.55
2010,0.84
2011,0.51
2012,0.52
2013,0.60
2014,0.59
2015,0.87
2016,1.34
2017,1.10
2018,0.89
2019,0.91
2020,1.21
2021,0.66
2022,0.90
2023,1.01
2024,1.40
