"ky before 2015","T anomaly"
0.015,0
0.065,0
0.065,0.27
0.115,0.27
0.115,0.1
0.165,0.1
0.165,-0.19
0.215,-0.19
0.215,-0.17
0.265,-0.17
0.265,-0.33
0.315,-0.33
0.315,-0.46
0.365,-0.46
0.365,-0.32
0.415,-0.32
0.415,-0.22
0.465,-0.22
0.465,-0.13
0.515,-0.13
0.515,-0.16
0.565,-0.16
0.565,0.07
0.615,0.07
0.615,-0.06
0.665,-0.06
0.665,-0.36
0.715,-0.36
0.715,-0.1
0.765,-0.1
0.765,-0.14
0.815,-0.14
0.815,-0.33
0.865,-0.33
0.865,-0.22
0.915,-0.22
0.915,-0.08
0.965,-0.08
0.965,-0.35
1.015,-0.35
1.015,0.13
1.065,0.13
1.065,0.07
1.115,0.07
1.115,-0.29
1.165,-0.29
1.165,-0.24
1.215,-0.24
1.215,-0.11
1.265,-0.11
1.265,-0.06
1.315,-0.06
1.315,-0.05
1.365,-0.05
1.365,0.07
1.415,0.07
1.415,-0.01
1.465,-0.01
1.465,0.07
1.515,0.07
1.515,-0.37
1.565,-0.37
1.565,-0.17
1.615,-0.17
1.615,0.26
1.665,0.26
1.665,-0.37
1.715,-0.37
1.715,-0.02
1.765,-0.02
1.765,-0.4
1.815,-0.4
1.815,-0.18
1.865,-0.18
1.865,0
1.915,0
1.915,0.4
1.965,0.4
1.965,0.12
2.015,0.12
2.015,0.14
2.065,0.14
2.065,0.05
2.115,0.05
2.115,0
2.165,0
2.165,-0.31
2.215,-0.31
2.215,-0.1
2.265,-0.1
2.265,0.31
2.315,0.31
2.315,0.15
2.365,0.15
2.365,0.07
2.415,0.07
2.415,0.19
2.465,0.19
2.465,-0.34
2.515,-0.34
2.515,-0.04
2.565,-0.04
2.565,0.06
2.615,0.06
2.615,-0.07
2.665,-0.07
2.665,-0.1
2.715,-0.1
2.715,0
2.765,0
2.765,0.25
2.815,0.25
2.815,0.17
2.865,0.17
2.865,0.04
2.915,0.04
2.915,0.12
2.965,0.12
2.965,0.41
3.015,0.41
3.015,0.16
3.065,0.16
3.065,0
3.115,0
3.115,0.21
3.165,0.21
3.165,0.13
3.215,0.13
3.215,0.01
3.265,0.01
3.265,0.08
3.315,0.08
3.315,0.03
3.365,0.03
3.365,0.21
3.415,0.21
3.415,0.28
3.465,0.28
3.465,0.09
3.515,0.09
3.515,0.14
3.565,0.14
3.565,0.17
3.615,0.17
3.615,0.04
3.665,0.04
3.665,0.52
3.715,0.52
3.715,0.42
3.765,0.42
3.765,0.1
3.815,0.1
3.815,0.1
3.865,0.1
3.865,-0.01
3.915,-0.01
3.915,0.06
3.965,0.06
3.965,0.09
4.015,0.09
4.015,0.34
4.065,0.34
4.065,0.13
4.115,0.13
4.115,-0.04
4.165,-0.04
4.165,0.17
4.215,0.17
4.215,0.4
4.265,0.4
4.265,0
4.315,0
4.315,0.4
4.365,0.4
4.365,0.07
4.415,0.07
4.415,0.15
4.465,0.15
4.465,0.4
4.515,0.4
4.515,0.14
4.565,0.14
4.565,0.55
4.615,0.55
4.615,0.24
4.665,0.24
4.665,0.1
4.715,0.1
4.715,0.31
4.765,0.31
4.765,0.44
4.815,0.44
4.815,0.25
4.865,0.25
4.865,0.34
4.915,0.34
4.915,0.59
4.965,0.59
4.965,0.35
5.015,0.35
5.015,0.32
5.065,0.32
5.065,0.4
5.115,0.4
5.115,0.16
5.165,0.16
5.165,0.58
5.215,0.58
5.215,0.38
5.265,0.38
5.265,0.07
5.315,0.07
5.315,0.16
5.365,0.16
5.365,0.13
5.415,0.13
5.415,0.41
5.465,0.41
5.465,0.47
5.515,0.47
5.515,0.51
5.565,0.51
5.565,0.28
5.615,0.28
5.615,0.42
5.665,0.42
5.665,0.07
5.715,0.07
5.715,0.33
5.765,0.33
5.765,0.43
5.815,0.43
5.815,0.28
5.865,0.28
5.865,0.72
5.915,0.72
5.915,0.34
5.965,0.34
5.965,0.17
6.015,0.17
6.015,0.19
6.065,0.19
6.065,0.27
6.115,0.27
6.115,0.59
6.165,0.59
6.165,0.28
6.215,0.28
6.215,0.31
6.265,0.31
6.265,0.29
6.315,0.29
6.315,0.31
6.365,0.31
6.365,0.4
6.415,0.4
6.415,0.63
6.465,0.63
6.465,0.48
6.515,0.48
6.515,0.08
6.565,0.08
6.565,0.54
6.615,0.54
6.615,0.43
6.665,0.43
6.665,0.49
6.715,0.49
6.715,0.51
6.765,0.51
6.765,0.35
6.815,0.35
6.815,0.4
6.865,0.4
6.865,0.49
6.915,0.49
6.915,0.31
6.965,0.31
6.965,0.44
7.015,0.44
7.015,0.3
7.065,0.3
7.065,0.37
7.115,0.37
7.115,0.28
7.165,0.28
7.165,0.28
7.215,0.28
7.215,0.43
7.265,0.43
7.265,0.21
7.315,0.21
7.315,0.37
7.365,0.37
7.365,0.57
7.415,0.57
7.415,0.58
7.465,0.58
7.465,0.5
7.515,0.5
7.515,0.37
7.565,0.37
7.565,0.72
7.615,0.72
7.615,0.64
7.665,0.64
7.665,0.6
7.715,0.6
7.715,0.57
7.765,0.57
7.765,0.84
7.815,0.84
7.815,0.7
7.865,0.7
7.865,0.22
7.915,0.22
7.915,0.49
7.965,0.49
7.965,0.79
8.015,0.79
8.015,0.42
8.065,0.42
8.065,0.4
8.115,0.4
8.115,-0.24
8.165,-0.24
8.165,-0.59
8.215,-0.59
8.215,-0.15
8.265,-0.15
8.265,0.44
8.315,0.44
8.315,0.37
8.365,0.37
8.365,0.04
8.415,0.04
8.415,0.31
8.465,0.31
8.465,0.44
8.515,0.44
8.515,0.36
8.565,0.36
8.565,0.54
8.615,0.54
8.615,0.05
8.665,0.05
8.665,0.33
8.715,0.33
8.715,0.28
8.765,0.28
8.765,0.1
8.815,0.1
8.815,0.39
8.865,0.39
8.865,0.66
8.915,0.66
8.915,0.36
8.965,0.36
8.965,0.4
9.015,0.4
9.015,-0.02
9.065,-0.02
9.065,0.31
9.115,0.31
9.115,0.52
9.165,0.52
9.165,0.28
9.215,0.28
9.215,-0.22
9.265,-0.22
9.265,-0.16
9.315,-0.16
9.315,0.31
9.365,0.31
9.365,0.24
9.415,0.24
9.415,0.05
9.465,0.05
9.465,0.27
9.515,0.27
9.515,0.21
9.565,0.21
9.565,0.25
9.615,0.25
9.615,0.25
9.665,0.25
9.665,0.37
9.715,0.37
9.715,0.41
9.765,0.41
9.765,0.03
9.815,0.03
9.815,0.15
9.865,0.15
9.865,0.04
9.915,0.04
9.915,0.19
9.965,0.19
9.965,-0.07
10.015,-0.07
10.015,-0.04
10.065,-0.04
10.065,-0.04
10.115,-0.04
10.115,-0.14
10.165,-0.14
10.165,-0.81
10.215,-0.81
10.215,-0.4
10.265,-0.4
10.265,-0.74
10.315,-0.74
10.315,-0.77
10.365,-0.77
10.365,-0.67
10.415,-0.67
10.415,-0.38
10.465,-0.38
10.465,-0.53
10.515,-0.53
10.515,-0.83
10.565,-0.83
10.565,-0.32
10.615,-0.32
10.615,-0.73
10.665,-0.73
10.665,-0.84
10.715,-0.84
10.715,-1.01
10.765,-1.01
10.765,-1.62
10.815,-1.62
