"AD","T anomaly"
1850,-0.3898
1851,-0.2612
1852,-0.2256
1853,-0.3349
1854,-0.2441
1855,-0.2971
1856,-0.4321
1857,-0.4832
1858,-0.4247
1859,-0.4103
1860,-0.5067
1861,-0.4735
1862,-0.5151
1863,-0.4665
1864,-0.4342
1865,-0.3306
1866,-0.3454
1867,-0.4041
1868,-0.2154
1869,-0.3391
1870,-0.3617
1871,-0.3829
1872,-0.2654
1873,-0.3463
1874,-0.4206
1875,-0.3498
1876,-0.3556
1877,0.0027
1878,-0.0876
1879,-0.3031
1880,-0.2725
1881,-0.1944
1882,-0.3816
1883,-0.3526
1884,-0.5511
1885,-0.4982
1886,-0.4891
1887,-0.4602
1888,-0.2331
1889,-0.325
1890,-0.4485
1891,-0.3524
1892,-0.5452
1893,-0.3981
1894,-0.4371
1895,-0.3299
1896,-0.1989
1897,-0.2808
1898,-0.4435
1899,-0.2501
1900,-0.1879
1901,-0.2681
1902,-0.3776
1903,-0.5577
1904,-0.4792
1905,-0.2996
1906,-0.3104
1907,-0.4491
1908,-0.5071
1909,-0.4936
1910,-0.5371
1911,-0.4446
1912,-0.4832
1913,-0.3369
1914,-0.2282
1915,-0.1973
1916,-0.5141
1917,-0.4546
1918,-0.3071
1919,-0.3229
1920,-0.2606
1921,-0.2349
1922,-0.3255
1923,-0.2351
1924,-0.3181
1925,-0.1259
1926,-0.1792
1927,-0.1566
1928,-0.2756
1929,-0.307
1930,-0.111
1931,-0.0642
1932,-0.1819
1933,-0.2821
1934,-0.1148
1935,-0.2324
1936,-0.0743
1937,0.0364
1938,-0.0407
1939,0.0166
1940,0.0616
1941,0.0638
1942,-0.0357
1943,0.1014
1944,0.0809
1945,0.014
1946,-0.0741
1947,-0.0311
1948,-0.0717
1949,-0.1709
1950,-0.2271
1951,0.0639
1952,0.0436
1953,0.0437
1954,-0.0978
1955,-0.1931
1956,-0.2006
1957,0.0774
1958,-0.0166
1959,-0.0423
1960,-0.0146
1961,0.0249
1962,-0.0395
1963,-0.0066
1964,-0.2375
1965,-0.1381
1966,-0.0884
1967,-0.0356
1968,-0.096
1969,0.0734
1970,-0.089
1971,-0.1727
1972,0.0187
1973,-0.0708
1974,-0.1128
1975,-0.1899
1976,-0.1498
1977,0.0338
1978,-0.0789
1979,0.0961
1980,0.1524
1981,0.0849
1982,0.0697
1983,0.1169
1984,-0.0146
1985,0.0189
1986,0.0291
1987,0.2071
1988,0.1509
1989,0.1719
1990,0.2715
1991,0.2841
1992,0.0736
1993,0.0899
1994,0.2775
1995,0.2839
1996,0.2225
1997,0.4407
1998,0.4736
1999,0.2731
2000,0.3099
2001,0.5122
2002,0.4758
2003,0.5133
2004,0.4428
2005,0.568
2006,0.5629
2007,0.4654
2008,0.4543
2009,0.6124
2010,0.5504
2011,0.4698
2012,0.5389
2013,0.5552
2014,0.6543
2015,0.8532
2016,0.8148
2017,0.6671
