"млн лет назад","T anomaly"
0.0016,0.24
0.0024,0.37
0.0032,0.37
0.004,0.02
0.0048,-0.17
0.0054,0.04
0.0062,0
0.007,-0.07
0.0078,0.2
0.0086,0.28
0.0096,-0.54
0.0104,-0.79
0.0112,-1.16
0.0118,-1.32
0.0128,-2.03
0.0136,-2.24
0.0148,-3.08
0.016,-3.36
0.017,-4.28
0.0176,-4.51
0.0184,-4.65
0.0188,-4.44
0.0195,-4.54
0.0205,-4.17
0.0217,-4.31
0.0225,-4.1
0.0237,-4.17
0.0248,-4.04
0.0258,-4.06
0.0266,-3.86
0.0278,-3.67
0.0287,-3.57
0.0297,-3.43
0.0307,-3.48
0.0317,-3.29
0.0324,-3.59
0.0335,-3.49
0.0343,-3.57
0.0351,-3.36
0.0363,-3.55
0.0376,-3.28
0.0384,-3.33
0.0394,-3.16
0.0404,-3.18
0.0411,-3.14
0.0419,-3.28
0.043,-3.21
0.0442,-3.14
0.0454,-3.1
0.0465,-3.07
0.0475,-3.07
0.0483,-3.06
0.0491,-3.16
0.0499,-3.33
0.0507,-3.01
0.0513,-2.94
0.0519,-2.8
0.0528,-2.55
0.0534,-2.44
0.0542,-2.76
0.0552,-2.81
0.056,-2.61
0.057,-2.91
0.0581,-3.16
0.0591,-3
0.0605,-2.88
0.0619,-3.08
0.0627,-3.08
0.0635,-2.91
0.0643,-3.24
0.0651,-3.26
0.0661,-3.23
0.0674,-2.89
0.0689,-2.65
0.0703,-2.33
0.0715,-2.09
0.0729,-2.1
0.074,-2.21
0.075,-2.17
0.0766,-1.91
0.0778,-1.69
0.0786,-1.32
0.0794,-1.26
0.0806,-1.35
0.0812,-1.3
0.082,-1.47
0.0832,-1.93
0.0846,-1.83
0.0856,-1.71
0.0868,-1.84
0.0879,-1.94
0.0887,-1.92
0.0895,-1.77
0.0903,-1.8
0.0911,-1.86
0.0922,-1.63
0.0932,-1.15
0.0942,-1.35
0.0951,-1.29
0.0961,-1.12
0.0969,-1.15
0.0979,-1.43
0.0988,-1.23
0.0997,-1.26
0.1009,-1.15
0.1019,-0.99
0.1027,-0.94
0.1038,-1.15
0.1052,-1.09
0.1062,-1.28
0.1072,-1.47
0.1088,-1.59
0.11,-1.42
0.111,-1.49
0.112,-1.15
0.113,-0.94
0.1137,-0.76
0.1145,-0.61
0.1155,-0.84
0.1165,-1.03
0.1175,-0.61
0.1184,-0.33
0.1192,-0.23
0.1199,0.52
0.1205,1.51
0.1215,0.89
0.1224,1.07
0.1236,1.56
0.1245,0.27
0.1255,-0.41
0.1263,-0.69
0.1276,-1.07
0.1286,-2.16
0.1298,-2.17
0.131,-2.56
0.1324,-3.27
0.1334,-4.02
0.1344,-4.09
0.1354,-4.14
0.1368,-4.37
0.1378,-4.13
0.1386,-4.03
0.1396,-4.05
0.1404,-4.07
0.141,-3.87
0.1418,-3.86
0.1426,-3.83
0.1433,-3.9
0.1441,-3.75
0.1449,-4
0.1457,-4.07
0.1465,-4.02
0.1472,-3.96
0.148,-4.41
0.1486,-4.28
0.1492,-4.06
0.15,-4.02
0.1508,-3.87
0.1516,-3.7
0.1526,-3.61
0.1536,-3.47
0.1544,-3.5
0.1554,-3.45
0.1563,-3.35
0.1573,-3.36
0.1581,-3.55
0.1591,-3.63
0.1599,-3.53
0.161,-3.39
0.1618,-3.28
0.1629,-3.23
0.1639,-2.89
0.1651,-3.01
0.166,-3.01
0.1668,-2.92
0.1677,-3.04
0.1687,-2.99
0.1695,-2.69
0.1704,-2.73
0.1712,-2.72
0.172,-2.73
0.173,-2.78
0.174,-2.83
0.1748,-2.75
0.1757,-2.97
0.1769,-2.86
0.1778,-2.94
0.1788,-2.95
0.1802,-3.08
0.1818,-2.88
0.183,-2.94
0.184,-2.71
0.1853,-2.66
0.1863,-2.39
0.1873,-2.01
0.1881,-1.42
0.1891,-1.42
0.19,-1.29
0.1912,-1.11
0.1922,-0.67
0.1932,-0.67
0.1941,-0.4
0.1949,-0.32
0.1955,-0.3
0.1965,-0.6
0.1974,-0.82
0.1983,-0.77
0.1991,-0.77
0.2001,-0.48
0.2008,-0.62
0.2017,-0.61
0.2027,-0.59
0.2037,-0.51
0.2049,-0.72
0.206,-0.78
0.2075,-0.68
0.2089,-0.85
0.2107,-0.77
0.2123,-0.91
0.2139,-0.78
0.215,-0.75
0.2164,-0.69
0.2176,-0.79
0.2184,-0.89
0.2192,-1.15
0.2202,-1.53
0.2209,-2.18
0.2217,-2.51
0.2225,-2.58
0.2235,-3.02
0.2242,-3.09
0.2253,-2.78
0.2261,-2.78
0.2271,-2.73
0.2279,-2.31
0.2292,-1.74
0.23,-1.71
0.2308,-1.79
0.232,-2.03
0.2333,-1.81
0.2341,-1.85
0.2349,-1.74
0.2361,-1.36
0.2368,-0.81
0.2377,-0.54
0.2385,-0.74
0.2397,-0.44
0.2407,-0.6
0.2415,-0.71
0.2423,-1.2
0.2431,-1.32
0.2438,-1.91
0.2447,-2.37
0.2457,-2.79
0.2465,-3
0.2473,-3.17
0.2481,-3.35
0.249,-3.31
0.2498,-3.43
0.2506,-3.4
0.2514,-3.43
0.2522,-3.28
0.2529,-3.3
0.2536,-3.19
0.2544,-3.12
0.2552,-3.14
0.2561,-3.15
0.2569,-2.91
0.2577,-2.75
0.2585,-2.88
0.2593,-2.89
0.2602,-2.85
0.2609,-2.44
0.2615,-2.46
0.2623,-2.69
0.2631,-2.7
0.2638,-2.55
0.2644,-3.18
0.2652,-3.34
0.2658,-3.04
0.2666,-3.08
0.2675,-3.16
0.2683,-3.06
0.2693,-3.16
0.2703,-3.25
0.2712,-3.01
0.2719,-2.79
0.2729,-2.45
0.2737,-2.35
0.2745,-2.27
0.2756,-2.17
0.2766,-1.99
0.2776,-2.11
0.2789,-1.86
0.2803,-1.73
0.2815,-1.57
0.2827,-1.77
0.2841,-1.57
0.285,-1.7
0.286,-1.62
0.2872,-1.56
0.2886,-1.49
0.2896,-1.69
0.291,-1.77
0.2922,-1.94
0.2934,-2.27
0.2944,-2.43
0.2953,-2.49
0.2963,-2.64
0.2975,-2.74
0.2983,-2.76
0.2995,-2.65
0.3008,-2.74
0.3018,-2.44
0.3028,-2.1
0.3039,-1.98
0.3052,-1.84
0.3062,-1.6
0.3075,-1.3
0.3089,-0.98
0.3101,-0.91
0.3115,-0.81
0.3131,-0.87
0.3142,-0.97
0.3154,-1.15
0.317,-0.77
0.318,-1.16
0.3188,-0.96
0.32,-0.67
0.3212,-0.65
0.3221,-0.55
0.3231,0.11
0.3245,0.18
0.3257,0.1
0.3267,0.31
0.328,0.07
0.3294,-0.14
0.3306,0.02
0.3318,-0.06
0.333,-0.4
0.334,-0.68
0.3353,-0.92
0.3367,-1.36
0.3379,-1.78
0.339,-2.34
0.34,-2.78
0.3409,-3.39
0.3417,-3.14
0.3425,-3.33
0.3432,-3.18
0.3442,-3.33
0.345,-3.07
0.3458,-3.63
0.3468,-3.59
0.3478,-3.37
0.3487,-3.32
0.3497,-3.35
0.3507,-3.46
0.3515,-3.37
0.3524,-3.5
0.3533,-3.23
0.3541,-3.39
0.3547,-3.06
0.3553,-3.11
0.356,-2.96
0.3564,-3.17
0.3572,-2.81
0.358,-2.74
0.3588,-2.7
0.3594,-2.89
0.3604,-2.74
0.361,-2.61
0.3618,-2.67
0.3628,-2.52
0.3638,-2.49
0.3646,-2.55
0.3652,-2.67
0.3658,-2.77
0.3664,-2.68
0.367,-2.52
0.3675,-2.41
0.3686,-2.57
0.3696,-2.35
0.3704,-2.44
0.3715,-2.5
0.3728,-2.43
0.3737,-2.26
0.3747,-2.38
0.3759,-2.35
0.3772,-2.34
0.3782,-2.27
0.3794,-2.24
0.3806,-2.07
0.3818,-2
0.3826,-1.9
0.3839,-1.81
0.3851,-1.8
0.3863,-1.74
0.3873,-1.48
0.3885,-1.34
0.3896,-1.32
0.3906,-1.18
0.3918,-1
0.3932,-0.96
0.3945,-0.83
0.3957,-0.58
0.3967,-0.53
0.3974,-0.38
0.3982,-0.25
0.3991,0.05
0.3997,0.15
0.4005,0.98
0.4014,1.09
0.4022,1.14
0.4029,0.83
0.4037,1.2
0.4046,0.85
0.4051,0.32
0.4058,0
0.4065,0.05
0.4073,-0.38
0.4081,-0.5
0.4089,-0.31
0.4095,-0.41
0.4103,-0.32
0.4109,-0.15
0.4114,-0.99
0.412,-0.94
0.4131,-0.72
0.4139,-1.69
0.4151,-2.55
0.4162,-1.53
0.4174,-1.9
0.4182,-2.78
0.4189,-2.62
0.4194,-1.87
0.4204,-2.13
0.4212,-1.99
0.422,-1.5
0.423,-1.07
0.4242,-1.85
0.425,-2.57
0.426,-3.18
0.4268,-3.56
0.4278,-4.05
0.4288,-3.93
0.4296,-3.78
0.4304,-4.09
0.4312,-4.13
0.4321,-4.25
0.4331,-4.57
0.4341,-4.64
0.4349,-4.47
0.4361,-4.37
0.4372,-4.54
0.438,-4.35
0.439,-4.17
0.4401,-4.05
0.4413,-4.14
0.4421,-3.94
0.4431,-3.67
0.444,-3.88
0.4451,-3.94
0.4459,-3.79
0.4471,-3.52
0.4485,-3.86
0.4498,-3.83
0.4509,-3.52
0.4521,-3.25
0.453,-3.05
0.4536,-2.94
0.4544,-2.95
0.4554,-2.81
0.4566,-2.84
