12.10 Quantal Quetzal,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Deuterostomia,730.3111111111077
Chordata,736.3333333333297
Vertebrata (1993220),634.6544213333298
Gnathostomata,486.2277668133298
Euteleostomi,432.95528812878484
Sarcopterygii,415.19143725097683
Dipnotetrapodomorpha,415.19143725097683
Tetrapoda,359.0754451696938
Amniota,323.85715666666283
Sauria,281.10998724637284
Testudines + Archosauria group,255.92490701754082
Archosauria,241.6701987499968
Dinosauria,185.4905678513898
Coelurosauria,141.7947951357288
Aves,120.79663696969382
Neognathae,105.60974721794483
2009853,95.23077045640673
2009854,93.14222084761553
2009855,91.13333333332983
2009856,91.13333333332983
2009857,90.13333333332983
2011230,87.20693476190124
2011231,85.53583708332982
2011232,84.07764833332983
2011233,83.33281958332984
Trogonidae,31.788681499996528
