18.10 Cosmic Cuttlefish,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333303
563254,939.3333333333303
Metazoa,939.3333333333303
Eumetazoa,939.3333333333303
564202,939.3333333333303
Bilateria,850.3327392156833
Protostomia,747.3333333333303
Lophotrochozoa,579.3333333333303
Mollusca,544.7792269841243
Cephalopoda,426.4346158333303
Neocoleoidea,353.33333333333036
Decapodiformes,353.33333333333036
1893843,208.64766666666335
Sepiina,147.05336666666335
