19.10 Eoan Ermine,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata (1993220),634.6544213333302
Gnathostomata,486.2277668133303
Euteleostomi,432.9552881287853
Sarcopterygii,415.1914372509773
Dipnotetrapodomorpha,415.1914372509773
Tetrapoda,359.07544516969426
Amniota,323.8571566666633
Mammalia,182.5263958333303
Theria (2026074),166.9987683333303
Eutheria (2026898),108.34299128204832
Boreoeutheria,100.78521379084671
Laurasiatheria,92.7654416666636
2034426,85.2091476190446
2034427,81.725849999997
2034428,80.3470333333303
2034429,79.4902633333303
Carnivora,58.2935467816062
Caniformia,49.089767701751406
2034629,43.621083333330304
2034630,43.095074999997
2034631,38.2696055555525
2034632,37.398049999997
2034633,32.7048508333303
Mustelidae,24.2550217833303
Mustelinae,23.7333333333303
2034690,11.648308666663631
Mustela,9.702397645076331
Mustela erminea,3.3333333333303017
