22.10 Kinetic Kudu,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333293
563254,939.3333333333293
Metazoa,939.3333333333293
Eumetazoa,939.3333333333293
564202,939.3333333333293
Bilateria,850.3327392156823
Deuterostomia,730.3111111111073
Chordata,736.3333333333293
Vertebrata (1993220),634.6544213333293
Gnathostomata,486.22776681332937
Euteleostomi,432.9552881287844
Sarcopterygii,415.1914372509764
Dipnotetrapodomorpha,415.1914372509764
Tetrapoda,359.07544516969335
Amniota,323.8571566666624
Mammalia,182.5263958333294
Theria (2026074),166.9987683333294
Eutheria (2026898),108.34299128204738
Boreoeutheria,100.78521379084577
Laurasiatheria,92.76544166666267
2034426,85.20914761904366
2034427,81.72584999999606
Cetartiodactyla,68.14305874999607
2036554,66.83969999999607
2036555,59.657359259255266
Ruminantia,50.430699999996065
Pecora,32.162983333329365
2037538,29.333333333329367
2037539,29.333333333329367
Bovidae,23.115008007932566
Bovinae,19.121764972218266
Tragelaphus,14.345017083329367
