7.04 Feisty Fawn,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333293
563254,939.3333333333293
Metazoa,939.3333333333293
Eumetazoa,939.3333333333293
564202,939.3333333333293
Bilateria,850.3327392156823
Deuterostomia,730.3111111111073
Chordata,736.3333333333293
Vertebrata (1993220),634.6544213333293
Gnathostomata,486.22776681332925
Euteleostomi,432.9552881287843
Sarcopterygii,415.19143725097626
Dipnotetrapodomorpha,415.19143725097626
Tetrapoda,359.0754451696933
Amniota,323.8571566666623
Mammalia,182.52639583332933
Theria (2026074),166.99876833332934
Eutheria (2026898),108.34299128204735
Boreoeutheria,100.78521379084575
Laurasiatheria,92.76544166666264
2034426,85.20914761904363
2034427,81.72584999999603
Cetartiodactyla,68.14305874999604
2036554,66.83969999999604
2036555,59.65735925925524
Ruminantia,50.43069999999604
Pecora,32.162983333329336
2037538,29.333333333329332
Cervidae,16.79858412698013
