Anchovy,mya
cellular organisms,4249.999999999999
16654,4249.999999999999
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata,634.6544213333295
Gnathostomata,486.22776681332954
Euteleostomi,432.95528812878456
Actinopterygii,389.9851823333296
Actinopteri,341.7139799999966
Neopterygii,315.3964666666626
Teleostei,287.3333333333296
Osteoglossocephalai,287.3333333333296
Clupeocephala,234.86297833332964
Otomorpha,234.86297833332964
2074711,205.23122666666262
Clupeiformes,183.9305333333296
Clupeoidei,103.28100833332982
Engraulidae,25.233333333329625
Engraulinae,22.789666666662924
