Anteater,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata,634.65442133333
Gnathostomata,486.22776681333005
Euteleostomi,432.95528812878507
Sarcopterygii,415.19143725097706
Dipnotetrapodomorpha,415.19143725097706
Tetrapoda,359.07544516969404
Amniota,323.85715666666306
Mammalia,182.52639583333004
Theria,166.99876833333005
Eutheria,108.34299128204805
2039998,104.12661148147805
Xenarthra,72.33333333333005
Pilosa,59.55746333333005
Vermilingua,43.39548333333005
