Ants,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333303
563254,939.3333333333303
Metazoa,939.3333333333303
Eumetazoa,939.3333333333303
564202,939.3333333333303
Bilateria,850.3327392156833
Protostomia,747.3333333333303
Ecdysozoa,747.3333333333303
Panarthropoda,747.3333333333303
Arthropoda,673.0005333333303
Mandibulata,646.6913333333302
Pancrustacea,599.3333333333303
Hexapoda,498.4733333333303
673916,436.5833333333303
Insecta,405.3333333333303
Dicondylia,405.3333333333303
Pterygota (675903),405.3333333333303
Neoptera,370.2069916666633
Endopterygota,351.3333333333303
Hymenoptera,300.9100190476163
Apocrita,247.0753299999973
Aculeata,173.3333333333303
679980,157.5833333333303
Vespoidea,148.2383333333303
Formicidae,141.9363538157863
Formicinae,96.7809523809494
Formicini,61.3333333333303
