Apple,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Archaeplastida,1499.03953333333
16685,1398.9007222222199
Chloroplastida,986.3333333333298
Streptophyta,757.1458473333298
Embryophyta,554.8835853333298
48507,518.4392558333299
Tracheophyta,435.0522522222189
Euphyllophyta,407.9247917948679
Spermatophyta,321.3497333333299
Magnoliophyta,191.2982833333299
Mesangiospermae,158.33333333332988
55894,146.30910855184888
55895,143.09615266666287
eudicotyledons,131.5383427233299
Gunneridae,124.33333333332988
55910,124.33333333332988
Pentapetalae,124.33333333332988
55912,117.33333333332988
55913,117.33333333332988
rosids,117.33333333332988
fabids,117.33333333332988
55916,117.33333333332988
Rosales,88.69870831120028
Rosaceae,59.43333333332987
Maloideae,51.27178633332987
Maleae,46.689022988502174
Malus,30.20102564102217
