Apples and pears,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208597
Archaeplastida,1499.0395333333297
16685,1398.9007222222197
Chloroplastida,986.3333333333297
Streptophyta,757.1458473333297
Embryophyta,554.8835853333297
48507,518.4392558333298
Tracheophyta,435.0522522222188
Euphyllophyta,407.92479179486776
Spermatophyta,321.34973333332977
Magnoliophyta,191.29828333332978
Mesangiospermae,158.3333333333298
55894,146.3091085518488
55895,143.09615266666276
eudicotyledons,131.53834272332978
Gunneridae,124.33333333332978
55910,124.33333333332978
Pentapetalae,124.33333333332978
55912,117.33333333332978
55913,117.33333333332978
rosids,117.33333333332978
fabids,117.33333333332978
55916,117.33333333332978
Rosales,88.69870831120018
Rosaceae,59.43333333332977
Maloideae,51.27178633332977
Maleae,46.689022988502074
