Armadillo,mya
cellular organisms,4249.999999999999
16654,4249.999999999999
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata (1993220),634.6544213333295
Gnathostomata,486.2277668133296
Euteleostomi,432.9552881287846
Sarcopterygii,415.1914372509766
Dipnotetrapodomorpha,415.1914372509766
Tetrapoda,359.07544516969364
Amniota,323.85715666666266
Mammalia,182.52639583332967
Theria (2026074),166.99876833332968
Eutheria (2026898),108.34299128204768
2039998,104.12661148147768
Xenarthra,72.33333333332968
Cingulata (2040518),50.19551091269477
