Axolotl,mya
cellular organisms,4250.000000000001
16654,4250.000000000001
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata,634.6544213333302
Gnathostomata,486.2277668133303
Euteleostomi,432.9552881287853
Sarcopterygii,415.1914372509773
Dipnotetrapodomorpha,415.1914372509773
Tetrapoda,359.0754451696943
Amphibia,327.78554333333034
Batrachia,300.9285833333303
Caudata,208.2884106042853
Salamandroidea,186.4427208333303
2041335,157.2076008333303
2041336,105.0364733333303
Ambystoma,27.012641421565604
