Azalea,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333304
Streptophyta,757.1458473333304
Embryophyta,554.8835853333304
48507,518.4392558333304
Tracheophyta,435.0522522222194
Euphyllophyta,407.9247917948684
Spermatophyta,321.3497333333304
Magnoliophyta,191.2982833333304
Mesangiospermae,158.33333333333042
55894,146.30910855184942
55895,143.09615266666341
eudicotyledons,131.5383427233304
Gunneridae,124.33333333333042
55910,124.33333333333042
Pentapetalae,124.33333333333042
147703,120.35221133333042
147704,118.99434696060342
147705,117.57880256490942
asterids,116.15861803921243
148257,111.33333333333043
Ericales,98.77708155538294
Ericaceae,61.615568511901834
Ericoideae,47.53333333333043
Rhodoreae,35.87722222221934
Rhododendron,30.375555555552637
