Baboons,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333293
563254,939.3333333333293
Metazoa,939.3333333333293
Eumetazoa,939.3333333333293
564202,939.3333333333293
Bilateria,850.3327392156823
Deuterostomia,730.3111111111073
Chordata,736.3333333333293
Vertebrata (1993220),634.6544213333293
Gnathostomata,486.22776681332937
Euteleostomi,432.9552881287844
Sarcopterygii,415.1914372509764
Dipnotetrapodomorpha,415.1914372509764
Tetrapoda,359.0754451696934
Amniota,323.85715666666243
Mammalia,182.52639583332945
Theria (2026074),166.99876833332945
Eutheria (2026898),108.34299128204744
Boreoeutheria,100.78521379084583
Euarchontoglires,94.22883293110723
2032192,89.22089999999604
2032193,84.64257083332943
Primates,79.20523280701363
Haplorrhini,70.97017333332943
Simiiformes,46.39287077518992
Catarrhini,32.45971345028852
Cercopithecidae,20.387283921564716
Cercopithecinae,15.055537083329416
2032766,13.888765733329416
2032767,11.972719047615126
2032768,8.852119333329416
2032769,8.427812619043706
2032770,6.083333333329415
Papio,6.022625333329415
