Bamboo,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333304
Streptophyta,757.1458473333304
Embryophyta,554.8835853333304
48507,518.4392558333304
Tracheophyta,435.05225222221947
Euphyllophyta,407.92479179486844
Spermatophyta,321.34973333333045
Magnoliophyta,191.29828333333046
Mesangiospermae,158.33333333333047
237140,158.33333333333047
Liliopsida,138.36324829059546
Petrosaviidae,123.47950444444146
242773,123.33333333333046
commelinids,123.33333333333046
280511,112.33333333333046
280512,112.33333333333046
Poales,112.33333333333046
280514,109.27594151514846
280515,107.55859133333045
280516,98.12542999999715
280517,98.03738133333044
281106,72.93333333333045
281107,72.93333333333045
Poaceae,63.84999999999715
BEP clade,45.30256333333045
286131,44.958333333330444
Bambusoideae,34.34580961007305
