Barnacles,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333303
563254,939.3333333333303
Metazoa,939.3333333333303
Eumetazoa,939.3333333333303
564202,939.3333333333303
Bilateria,850.3327392156833
Protostomia,747.3333333333303
Ecdysozoa,747.3333333333303
Panarthropoda,747.3333333333303
Arthropoda,673.0005333333303
Mandibulata,646.6913333333302
Pancrustacea,599.3333333333303
Crustacea,567.8581333333303
Maxillopoda,552.4533333333303
Thecostraca,431.6362544456353
Cirripedia,387.2182102102073
Thoracica,311.3333333333303
Sessilia,179.8333333333303
Chthamaloidea,125.3333333333303
