Bell pepper,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208597
Archaeplastida,1499.0395333333297
16685,1398.9007222222197
Chloroplastida,986.3333333333297
Streptophyta,757.1458473333297
Embryophyta,554.8835853333297
48507,518.4392558333298
Tracheophyta,435.0522522222188
Euphyllophyta,407.92479179486776
Spermatophyta,321.34973333332977
Magnoliophyta,191.29828333332978
Mesangiospermae,158.33333333332976
55894,146.30910855184877
55895,143.09615266666276
eudicotyledons,131.53834272332978
Gunneridae,124.33333333332976
55910,124.33333333332976
Pentapetalae,124.33333333332976
147703,120.35221133332976
147704,118.99434696060277
147705,117.57880256490877
asterids,116.15861803921177
148257,111.33333333332978
148258,111.33333333332978
lamiids,98.12248119444088
Solanales,89.53333333332978
178384,79.60659583332978
Solanaceae,45.12123663332979
Solanoideae,25.66564976190119
Capsiceae,16.462693916663092
Capsicum,3.7420373333297903
