Birch,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Archaeplastida,1499.03953333333
16685,1398.9007222222199
Chloroplastida,986.33333333333
Streptophyta,757.1458473333299
Embryophyta,554.88358533333
48507,518.43925583333
Tracheophyta,435.052252222219
Euphyllophyta,407.924791794868
Spermatophyta,321.34973333333
Magnoliophyta,191.29828333333
Mesangiospermae,158.33333333333
55894,146.30910855184896
55895,143.096152666663
eudicotyledons,131.53834272332998
Gunneridae,124.33333333332997
55910,124.33333333332997
Pentapetalae,124.33333333332997
55912,117.33333333332997
55913,117.33333333332997
rosids,117.33333333332997
fabids,117.33333333332997
55916,117.33333333332997
55917,97.97571025640687
Fagales,89.59529333332996
82210,73.05072333332996
82211,57.42286333332996
82212,54.53333333332996
82312,54.53333333332996
Betulaceae,54.53333333332996
82314,54.53333333332996
Betula,29.80933333332996
