Blackberry,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333304
Streptophyta,757.1458473333304
Embryophyta,554.8835853333304
48507,518.4392558333304
Tracheophyta,435.0522522222194
Euphyllophyta,407.9247917948684
Spermatophyta,321.3497333333304
Magnoliophyta,191.2982833333304
Mesangiospermae,158.3333333333304
55894,146.3091085518494
55895,143.0961526666634
eudicotyledons,131.5383427233304
Gunneridae,124.33333333333039
55910,124.33333333333039
Pentapetalae,124.33333333333039
55912,117.33333333333039
55913,117.33333333333039
rosids,117.33333333333039
fabids,117.33333333333039
55916,117.33333333333039
Rosales,88.69870831120079
Rosaceae,59.433333333330395
Rosoideae,40.99333333333039
Rosoideae unplaced,40.99333333333039
85019,34.62203333333039
Rubus,16.26233333333039
