Brazil nut,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333303
Streptophyta,757.1458473333303
Embryophyta,554.8835853333303
48507,518.4392558333303
Tracheophyta,435.0522522222193
Euphyllophyta,407.92479179486827
Spermatophyta,321.3497333333303
Magnoliophyta,191.2982833333303
Mesangiospermae,158.3333333333303
55894,146.3091085518493
55895,143.0961526666633
eudicotyledons,131.5383427233303
Gunneridae,124.33333333333029
55910,124.33333333333029
Pentapetalae,124.33333333333029
147703,120.35221133333029
147704,118.9943469606033
147705,117.5788025649093
asterids,116.1586180392123
148257,111.3333333333303
Ericales,98.77708155538281
Lecythidaceae,14.514778703330302
Bertholletia excelsa,3.3333333333303017
