Buttercup,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208602
Archaeplastida,1499.0395333333302
16685,1398.90072222222
Chloroplastida,986.3333333333301
Streptophyta,757.14584733333
Embryophyta,554.8835853333301
48507,518.4392558333301
Tracheophyta,435.0522522222191
Euphyllophyta,407.9247917948681
Spermatophyta,321.3497333333301
Magnoliophyta,191.29828333333012
Mesangiospermae,158.33333333333013
55894,146.30910855184914
55895,143.09615266666313
eudicotyledons,131.53834272333012
stem eudicotyledons,130.33333333333013
229433,130.33333333333013
Ranunculales,120.40710761904413
229884,117.24305333333012
229885,113.33333333333012
230167,110.33333333333012
Ranunculaceae,55.47763383333012
Ranunculoideae,53.56824666666342
Ranunculeae,45.29009326388582
Ranunculus,18.476926922382518
