Butterflies,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208602
Opisthokonta,1305.83351794871
Holozoa,994.1680333333301
563254,939.3333333333301
Metazoa,939.3333333333301
Eumetazoa,939.3333333333301
564202,939.3333333333301
Bilateria,850.3327392156831
Protostomia,747.3333333333301
Ecdysozoa,747.3333333333301
Panarthropoda,747.3333333333301
Arthropoda,673.00053333333
Mandibulata,646.69133333333
Pancrustacea,599.3333333333301
Hexapoda,498.47333333333006
673916,436.5833333333301
Insecta,405.3333333333301
Dicondylia,405.3333333333301
Pterygota,405.3333333333301
Neoptera,370.2069916666631
Endopterygota,351.3333333333301
797707,304.64669999999705
1014004,271.23333333333005
1208739,249.72733333333005
Amphiesmenoptera,179.33333333333005
Lepidoptera,179.33333333333005
Glossata,179.33333333333005
Neolepidoptera,164.33005464480505
Heteroneura,179.33333333333005
Ditrysia,141.33333333333005
1258324,141.33333333333005
Obtectomera,124.78156984126704
Papilionoidea,123.24629999999704
Papilionidae,70.89986111110784
Papilioninae,73.73309999999674
