Cabbage,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208602
Archaeplastida,1499.0395333333302
16685,1398.90072222222
Chloroplastida,986.3333333333301
Streptophyta,757.14584733333
Embryophyta,554.8835853333301
48507,518.4392558333301
Tracheophyta,435.0522522222191
Euphyllophyta,407.9247917948681
Spermatophyta,321.3497333333301
Magnoliophyta,191.29828333333012
Mesangiospermae,158.33333333333013
55894,146.30910855184914
55895,143.0961526666631
eudicotyledons,131.53834272333012
Gunneridae,124.33333333333012
55910,124.33333333333012
Pentapetalae,124.33333333333012
55912,117.33333333333012
55913,117.33333333333012
rosids,117.33333333333012
malvids,109.33333333333012
122471,104.29719333333011
122472,99.23333333333012
125257,91.83333333333012
Brassicales,70.21529395833022
