Cacti,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Archaeplastida,1499.03953333333
16685,1398.9007222222199
Chloroplastida,986.33333333333
Streptophyta,757.1458473333299
Embryophyta,554.88358533333
48507,518.43925583333
Tracheophyta,435.05225222221895
Euphyllophyta,407.92479179486793
Spermatophyta,321.34973333332994
Magnoliophyta,191.29828333332995
Mesangiospermae,158.33333333332996
55894,146.30910855184896
55895,143.09615266666293
eudicotyledons,131.53834272332995
Gunneridae,124.33333333332995
55910,124.33333333332995
Pentapetalae,124.33333333332995
147703,120.35221133332995
147704,118.99434696060295
147705,117.57880256490895
Caryophyllales,73.50289374664405
Cactineae,37.65868666666325
222696,35.59604083332995
222697,29.833333333329954
Cactaceae,20.617333333329952
