Capybara,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata,634.6544213333302
Gnathostomata,486.2277668133303
Euteleostomi,432.9552881287853
Sarcopterygii,415.1914372509773
Dipnotetrapodomorpha,415.1914372509773
Tetrapoda,359.07544516969426
Amniota,323.8571566666633
Mammalia,182.5263958333303
Theria,166.9987683333303
Eutheria,108.3429912820483
Boreoeutheria,100.7852137908467
Euarchontoglires,94.2288329311081
Glires,87.8674569230739
Rodentia,80.5314326436751
Hystricognathi,63.8333333333303
2031209,51.248787619044606
2031210,49.45550859648821
2031250,40.140262619044606
2031251,37.84220499999701
2031252,32.84863222221921
2031253,31.920875333330304
2031254,27.933333333330303
Hydrochoerus,15.633333333330302
Hydrochoerus hydrochaeris,3.3333333333303017
