Carrot,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208597
Archaeplastida,1499.0395333333297
16685,1398.9007222222197
Chloroplastida,986.3333333333296
Streptophyta,757.1458473333296
Embryophyta,554.8835853333296
48507,518.4392558333296
Tracheophyta,435.05225222221867
Euphyllophyta,407.92479179486764
Spermatophyta,321.34973333332965
Magnoliophyta,191.29828333332966
Mesangiospermae,158.33333333332965
55894,146.30910855184865
55895,143.09615266666265
eudicotyledons,131.53834272332966
Gunneridae,124.33333333332965
55910,124.33333333332965
Pentapetalae,124.33333333332965
147703,120.35221133332965
147704,118.99434696060266
147705,117.57880256490866
asterids,116.15861803921166
148257,111.33333333332966
148258,111.33333333332966
campanulids,111.33333333332966
148322,106.92789273666266
148323,94.61813424242055
148324,92.52413596332966
148325,91.84298083332966
Apiales,69.49953083332966
148420,65.98447133332965
148421,60.333333333329655
Apiineae,60.333333333329655
150632,59.733333333329654
Apiaceae,51.351428571424854
Apioideae,56.99895857142485
Scandiceae,40.233333333329654
157310,36.53333333332965
Daucinae,27.120333333329654
