Chameleons,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata,634.65442133333
Gnathostomata,486.22776681333005
Euteleostomi,432.95528812878507
Sarcopterygii,415.19143725097706
Dipnotetrapodomorpha,415.19143725097706
Tetrapoda,359.07544516969404
Amniota,323.85715666666306
Sauria,281.10998724637307
Lepidosauria,254.86363749999705
Squamata,215.26955541666305
Bifurcata,215.26955541666305
Unidentata,191.20314133333005
Episquamata,185.32433333333006
Toxicofera,175.13699924242107
2002920,172.22888183333006
Iguania,165.87543395833006
Acrodonta,106.99340066666306
Chamaeleonidae,50.887519651511866
