Chestnut,mya
cellular organisms,4249.999999999999
16654,4249.999999999999
Eukaryota,1765.3418838208595
Archaeplastida,1499.0395333333295
16685,1398.9007222222194
Chloroplastida,986.3333333333295
Streptophyta,757.1458473333295
Embryophyta,554.8835853333295
48507,518.4392558333295
Tracheophyta,435.05225222221856
Euphyllophyta,407.92479179486753
Spermatophyta,321.34973333332954
Magnoliophyta,191.29828333332955
Mesangiospermae,158.33333333332956
55894,146.30910855184857
55895,143.09615266666253
eudicotyledons,131.53834272332955
Gunneridae,124.33333333332955
55910,124.33333333332955
Pentapetalae,124.33333333332955
55912,117.33333333332955
55913,117.33333333332955
rosids,117.33333333332955
fabids,117.33333333332955
55916,117.33333333332955
55917,97.97571025640644
Fagales,89.59529333332954
82210,73.05072333332953
Fagaceae,37.422149999996236
Castanea,27.860666666662837
