Chickens,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata,634.6544213333295
Gnathostomata,486.2277668133296
Euteleostomi,432.9552881287846
Sarcopterygii,415.1914372509766
Dipnotetrapodomorpha,415.1914372509766
Tetrapoda,359.07544516969364
Amniota,323.85715666666266
Sauria,281.10998724637267
Testudines + Archosauria group,255.92490701754065
Archosauria,241.67019874999664
Dinosauria,185.49056785138964
Coelurosauria,141.79479513572863
Aves,120.79663696969362
Neognathae,105.60974721794463
2009153,87.03333333332964
Galliformes,69.17333333332964
Phasianidae,38.00570922221854
Phasianinae,38.35501899999634
2009325,30.31272333332964
Gallus,10.643483333329641
