Chimpanzees,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Deuterostomia,730.3111111111077
Chordata,736.3333333333297
Vertebrata,634.6544213333298
Gnathostomata,486.2277668133298
Euteleostomi,432.95528812878484
Sarcopterygii,415.19143725097683
Dipnotetrapodomorpha,415.19143725097683
Tetrapoda,359.0754451696938
Amniota,323.85715666666283
Mammalia,182.52639583332984
Theria,166.99876833332985
Eutheria,108.34299128204783
Boreoeutheria,100.78521379084623
Euarchontoglires,94.22883293110763
2032192,89.22089999999643
2032193,84.64257083332983
Primates,79.20523280701403
Haplorrhini,70.97017333332983
Simiiformes,46.39287077519033
Catarrhini,32.45971345028893
Hominoidea,23.24200761904413
Hominidae,19.11474937499653
Homininae,12.238296382975221
2032839,9.90488666666316
Pan,6.170110333329831
