Citruses,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Archaeplastida,1499.0395333333295
16685,1398.9007222222194
Chloroplastida,986.3333333333294
Streptophyta,757.1458473333294
Embryophyta,554.8835853333294
48507,518.4392558333294
Tracheophyta,435.05225222221844
Euphyllophyta,407.9247917948674
Spermatophyta,321.3497333333294
Magnoliophyta,191.29828333332944
Mesangiospermae,158.33333333332945
55894,146.30910855184845
55895,143.09615266666245
eudicotyledons,131.53834272332944
Gunneridae,124.33333333332945
55910,124.33333333332945
Pentapetalae,124.33333333332945
55912,117.33333333332945
55913,117.33333333332945
rosids,117.33333333332945
malvids,109.33333333332945
122471,104.29719333332945
122472,99.23333333332944
122473,99.23333333332944
Sapindales,99.23333333332944
122488,87.23333333332944
122489,87.23333333332944
122490,82.53333333332944
122491,82.53333333332944
Rutaceae,71.78121175041164
Citrus,11.364833333329443
