Cobras,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Deuterostomia,730.3111111111077
Chordata,736.3333333333297
Vertebrata,634.6544213333298
Gnathostomata,486.2277668133298
Euteleostomi,432.95528812878484
Sarcopterygii,415.19143725097683
Dipnotetrapodomorpha,415.19143725097683
Tetrapoda,359.07544516969386
Amniota,323.8571566666629
Sauria,281.1099872463729
Lepidosauria,254.8636374999969
Squamata,215.2695554166629
Bifurcata,215.2695554166629
Unidentata,191.2031413333299
Episquamata,185.32433333332992
Toxicofera,175.13699924242093
Serpentes,136.33333333332993
1998658,90.13333333332993
1998659,73.43333333332993
Colubroidea,73.43333333332993
2000443,58.93333333332993
2000444,58.93333333332993
2000445,44.864895333329926
2000446,31.533333333329928
Elapidae,22.307637523806125
Elapinae,31.533333333329928
2000516,31.533333333329928
2000619,21.132733333329924
Naja,17.587396983427425
