Coca,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Archaeplastida,1499.03953333333
16685,1398.9007222222199
Chloroplastida,986.3333333333298
Streptophyta,757.1458473333298
Embryophyta,554.8835853333298
48507,518.4392558333299
Tracheophyta,435.05225222221884
Euphyllophyta,407.9247917948678
Spermatophyta,321.3497333333298
Magnoliophyta,191.29828333332983
Mesangiospermae,158.33333333332982
55894,146.30910855184882
55895,143.09615266666282
eudicotyledons,131.53834272332983
Gunneridae,124.33333333332982
55910,124.33333333332982
Pentapetalae,124.33333333332982
55912,117.33333333332982
55913,117.33333333332982
rosids,117.33333333332982
fabids,117.33333333332982
103795,117.33333333332982
103796,101.01031714499652
103797,98.63333333332982
Malpighiales,92.57811638790253
Erythroxylaceae,54.29842276298132
