Cockroaches,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208602
Opisthokonta,1305.83351794871
Holozoa,994.1680333333301
563254,939.3333333333301
Metazoa,939.3333333333301
Eumetazoa,939.3333333333301
564202,939.3333333333301
Bilateria,850.3327392156831
Protostomia,747.3333333333301
Ecdysozoa,747.3333333333301
Panarthropoda,747.3333333333301
Arthropoda,673.00053333333
Mandibulata,646.69133333333
Pancrustacea,599.3333333333301
Hexapoda,498.47333333333006
673916,436.5833333333301
Insecta,405.3333333333301
Dicondylia,405.3333333333301
Pterygota (675903),405.3333333333301
Neoptera,370.2069916666631
Orthopteroidea,265.3333333333301
1506861,211.3260833333301
1506862,197.2427333333301
Dictyoptera (1510295),176.6655999999971
1513397,144.3333333333301
Blattodea,144.3333333333301
Blaberoidea,108.3341382575721
Ectobiidae,74.04497336583282
Blattellinae,58.10641025640702
Blattella,31.53333333333012
