Cod,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333298
563254,939.3333333333298
Metazoa,939.3333333333298
Eumetazoa,939.3333333333298
564202,939.3333333333298
Bilateria,850.3327392156829
Deuterostomia,730.3111111111078
Chordata,736.3333333333298
Vertebrata (1993220),634.6544213333299
Gnathostomata,486.2277668133299
Euteleostomi,432.9552881287849
Actinopterygii,389.98518233332993
Actinopteri,341.7139799999969
Neopterygii,315.39646666666295
Teleostei,287.33333333332996
Osteoglossocephalai,287.33333333332996
Clupeocephala,234.86297833332995
Euteleosteomorpha,229.01327533332994
2050974,229.01327533332994
Neoteleostei,157.33333333332996
Eurypterygia,157.33333333332996
Ctenosquamata,151.33333333332996
Acanthomorphata,151.33333333332996
2072506,151.33333333332996
Paracanthomorphacea,151.33333333332996
Zeiogadaria,151.33333333332996
Gadariae,97.06333333332996
Gadiformes,82.25333333332996
Gadoidei,74.39933333332996
Gadidae,24.74699999999666
