Coffee,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208597
Archaeplastida,1499.0395333333297
16685,1398.9007222222197
Chloroplastida,986.3333333333296
Streptophyta,757.1458473333296
Embryophyta,554.8835853333296
48507,518.4392558333296
Tracheophyta,435.05225222221867
Euphyllophyta,407.92479179486764
Spermatophyta,321.34973333332965
Magnoliophyta,191.29828333332966
Mesangiospermae,158.33333333332965
55894,146.30910855184865
55895,143.09615266666265
eudicotyledons,131.53834272332963
Gunneridae,124.33333333332963
55910,124.33333333332963
Pentapetalae,124.33333333332963
147703,120.35221133332963
147704,118.99434696060264
147705,117.57880256490864
asterids,116.15861803921165
148257,111.33333333332965
148258,111.33333333332965
lamiids,98.12248119444075
Gentianales,86.63333333332966
184027,86.63333333332966
184028,85.23333333332965
Rubiaceae,83.61021884999636
Ixoroideae,53.010681965630354
Coffeeae,16.319799999996356
Coffea,9.826566666662984
