Cotton,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208597
Archaeplastida,1499.0395333333297
16685,1398.9007222222197
Chloroplastida,986.3333333333296
Streptophyta,757.1458473333296
Embryophyta,554.8835853333296
48507,518.4392558333296
Tracheophyta,435.0522522222186
Euphyllophyta,407.9247917948676
Spermatophyta,321.3497333333296
Magnoliophyta,191.2982833333296
Mesangiospermae,158.33333333332962
55894,146.30910855184862
55895,143.09615266666262
eudicotyledons,131.5383427233296
Gunneridae,124.33333333332962
55910,124.33333333332962
Pentapetalae,124.33333333332962
55912,117.33333333332962
55913,117.33333333332962
rosids,117.33333333332962
malvids,109.33333333332962
122471,104.29719333332962
122472,99.23333333332961
125257,91.8333333333296
Malvales,74.666313666663
Malvaceae,38.18743415618671
Malvoideae,33.57671703132351
Gossypium,18.455025182326608
