Crocodile,mya
cellular organisms,4249.999999999999
16654,4249.999999999999
Eukaryota,1765.341883820859
Opisthokonta,1305.833517948709
Holozoa,994.168033333329
563254,939.333333333329
Metazoa,939.333333333329
Eumetazoa,939.333333333329
564202,939.333333333329
Bilateria,850.3327392156821
Deuterostomia,730.311111111107
Chordata,736.333333333329
Vertebrata (1993220),634.6544213333291
Gnathostomata,486.22776681332914
Euteleostomi,432.95528812878416
Sarcopterygii,415.19143725097615
Dipnotetrapodomorpha,415.19143725097615
Tetrapoda,359.0754451696931
Amniota,323.85715666666215
Sauria,281.10998724637216
Testudines + Archosauria group,255.92490701754014
Archosauria,241.67019874999613
Crocodylia,96.70233515151095
Longirostres,46.03295999999585
Crocodylidae,25.936633333329155
