Crocodiles,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Deuterostomia,730.3111111111077
Chordata,736.3333333333297
Vertebrata,634.6544213333298
Gnathostomata,486.2277668133297
Euteleostomi,432.95528812878473
Sarcopterygii,415.1914372509767
Dipnotetrapodomorpha,415.1914372509767
Tetrapoda,359.0754451696937
Amniota,323.8571566666627
Sauria,281.1099872463727
Testudines + Archosauria group,255.92490701754073
Archosauria,241.67019874999673
Crocodylia,96.70233515151153
Longirostres,46.03295999999643
Crocodylidae,25.93663333332973
Crocodylus,14.634983333329728
