Crows and ravens,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Deuterostomia,730.3111111111077
Chordata,736.3333333333297
Vertebrata,634.6544213333298
Gnathostomata,486.2277668133298
Euteleostomi,432.95528812878484
Sarcopterygii,415.19143725097683
Dipnotetrapodomorpha,415.19143725097683
Tetrapoda,359.07544516969386
Amniota,323.8571566666629
Sauria,281.1099872463729
Testudines + Archosauria group,255.92490701754087
Archosauria,241.67019874999687
Dinosauria,185.49056785138987
Coelurosauria,141.79479513572886
Aves,120.79663696969385
Neognathae,105.60974721794486
2009853,95.23077045640676
2009854,93.14222084761556
2009855,91.13333333332986
2009856,91.13333333332986
2012288,84.50002956409907
Passeriformes,63.42601224603837
Corvoidea,50.133333333329865
2015695,49.89223583332986
2015696,48.33333333332986
2015733,44.93333333332986
2016150,43.93333333332986
2016151,43.93333333332986
Corvidae,30.72846462533246
Corvus,13.102186037538559
