Cuckoos,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Deuterostomia,730.3111111111077
Chordata,736.3333333333297
Vertebrata (1993220),634.6544213333298
Gnathostomata,486.2277668133298
Euteleostomi,432.95528812878484
Sarcopterygii,415.19143725097683
Dipnotetrapodomorpha,415.19143725097683
Tetrapoda,359.07544516969386
Amniota,323.8571566666629
Sauria,281.1099872463729
Testudines + Archosauria group,255.9249070175409
Archosauria,241.6701987499969
Dinosauria,185.4905678513899
Coelurosauria,141.79479513572892
Aves,120.7966369696939
Neognathae,105.60974721794491
2009853,95.23077045640682
2023147,89.53333333332992
2023148,89.53333333332992
2023561,84.79337083332992
Cuculiformes,60.00924983332992
Cuculidae,44.71971366300022
