Daisy,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208602
Archaeplastida,1499.0395333333302
16685,1398.90072222222
Chloroplastida,986.3333333333301
Streptophyta,757.14584733333
Embryophyta,554.8835853333301
48507,518.4392558333301
Tracheophyta,435.0522522222191
Euphyllophyta,407.9247917948681
Spermatophyta,321.3497333333301
Magnoliophyta,191.29828333333012
Mesangiospermae,158.33333333333013
55894,146.30910855184914
55895,143.09615266666313
eudicotyledons,131.53834272333012
Gunneridae,124.33333333333012
55910,124.33333333333012
Pentapetalae,124.33333333333012
147703,120.35221133333012
147704,118.99434696060312
147705,117.57880256490913
asterids,116.15861803921213
148257,111.33333333333013
148258,111.33333333333013
campanulids,111.33333333333013
148322,106.92789273666313
148323,94.61813424242102
148324,92.52413596333012
Asterales,86.93333333333013
161724,86.93333333333013
161725,83.73333333333012
161726,83.73333333333012
161727,55.334841333330125
161728,49.784018333330124
Asteraceae,40.31464038888573
Asteroideae,34.32288511904443
Astereae,20.89136170512503
Bellis,5.902272727269519
