Dandelions,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Archaeplastida,1499.0395333333295
16685,1398.9007222222194
Chloroplastida,986.3333333333294
Streptophyta,757.1458473333294
Embryophyta,554.8835853333294
48507,518.4392558333294
Tracheophyta,435.0522522222184
Euphyllophyta,407.92479179486736
Spermatophyta,321.34973333332937
Magnoliophyta,191.29828333332938
Mesangiospermae,158.33333333332936
55894,146.30910855184837
55895,143.09615266666236
eudicotyledons,131.53834272332935
Gunneridae,124.33333333332935
55910,124.33333333332935
Pentapetalae,124.33333333332935
147703,120.35221133332935
147704,118.99434696060236
147705,117.57880256490836
asterids,116.15861803921136
148257,111.33333333332936
148258,111.33333333332936
campanulids,111.33333333332936
148322,106.92789273666236
148323,94.61813424242025
148324,92.52413596332936
Asterales,86.93333333332936
161724,86.93333333332936
161725,83.73333333332936
161726,83.73333333332936
161727,55.33484133332936
161728,49.78401833332936
Asteraceae,40.31464038888496
Cichorioideae,31.24826233332936
Cichorieae,26.48289963635966
Crepidinae,16.598030083329363
Taraxacum,10.352077333329362
