Dolphins,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata (1993220),634.6544213333302
Gnathostomata,486.22776681333016
Euteleostomi,432.9552881287852
Sarcopterygii,415.1914372509772
Dipnotetrapodomorpha,415.1914372509772
Tetrapoda,359.07544516969415
Amniota,323.8571566666632
Mammalia,182.52639583333018
Theria (2026074),166.9987683333302
Eutheria (2026898),108.34299128204817
Boreoeutheria,100.78521379084657
Laurasiatheria,92.76544166666346
2034426,85.20914761904446
2034427,81.72584999999685
Cetartiodactyla,68.14305874999687
2036554,66.83969999999687
2036555,59.65735925925606
2036556,57.17844397849146
Cetacea,36.83333333333016
Odontoceti,36.83333333333016
2036669,36.13396083333016
2036775,28.768153921565457
2036802,21.769813215683055
Delphinidae,12.856304989580167
Delphinus,4.993333333330156
