Domestic cats,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata,634.6544213333302
Gnathostomata,486.2277668133303
Euteleostomi,432.9552881287853
Sarcopterygii,415.1914372509773
Dipnotetrapodomorpha,415.1914372509773
Tetrapoda,359.07544516969426
Amniota,323.8571566666633
Mammalia,182.5263958333303
Theria,166.9987683333303
Eutheria,108.34299128204829
Boreoeutheria,100.78521379084668
Laurasiatheria,92.76544166666358
2034426,85.20914761904457
2034427,81.72584999999697
2034428,80.34703333333027
2034429,79.49026333333028
Carnivora,58.293546781606175
Feliformia,50.25011761904457
2035196,44.033333333330276
2035197,44.033333333330276
Felidae,18.606291666663573
Felinae,17.333333333330273
2035299,15.443333333330274
2035300,14.909999999996973
2035301,13.288333333330275
2035302,11.759999999996944
Felis,7.359999999996944
