Durian,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Archaeplastida,1499.03953333333
16685,1398.9007222222199
Chloroplastida,986.33333333333
Streptophyta,757.1458473333299
Embryophyta,554.88358533333
48507,518.43925583333
Tracheophyta,435.05225222221895
Euphyllophyta,407.92479179486793
Spermatophyta,321.34973333332994
Magnoliophyta,191.29828333332995
Mesangiospermae,158.33333333332993
55894,146.30910855184894
55895,143.09615266666293
eudicotyledons,131.53834272332992
Gunneridae,124.33333333332992
55910,124.33333333332992
Pentapetalae,124.33333333332992
55912,117.33333333332992
55913,117.33333333332992
rosids,117.33333333332992
malvids,109.33333333332992
122471,104.29719333332991
122472,99.23333333332991
125257,91.8333333333299
Malvales,74.6663136666633
Malvaceae,38.187434156187
Helicteroideae,25.601231081266402
Durio,14.951366940948901
