Eagle,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata,634.65442133333
Gnathostomata,486.22776681332994
Euteleostomi,432.95528812878496
Sarcopterygii,415.19143725097695
Dipnotetrapodomorpha,415.19143725097695
Tetrapoda,359.075445169694
Amniota,323.857156666663
Sauria,281.109987246373
Testudines + Archosauria group,255.92490701754102
Archosauria,241.670198749997
Dinosauria,185.49056785139
Coelurosauria,141.794795135729
Aves,120.79663696969399
Neognathae,105.60974721794499
2009853,95.23077045640689
2009854,93.14222084761569
2009855,91.13333333332999
2021136,91.13333333332999
2021137,91.13333333332999
Falconiformes,82.39479706060268
2021466,65.50753102116329
Accipitridae,54.101898888885586
Accipitrinae,33.003825599331584
Aquila,10.259993199996643
