Eared seals,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata,634.6544213333295
Gnathostomata,486.2277668133296
Euteleostomi,432.9552881287846
Sarcopterygii,415.1914372509766
Dipnotetrapodomorpha,415.1914372509766
Tetrapoda,359.0754451696936
Amniota,323.8571566666626
Mammalia,182.52639583332962
Theria,166.99876833332962
Eutheria,108.3429912820476
Boreoeutheria,100.785213790846
Laurasiatheria,92.7654416666629
2034426,85.20914761904389
2034427,81.72584999999629
2034428,80.34703333332959
2034429,79.4902633333296
Carnivora,58.29354678160549
Caniformia,49.089767701750695
2034629,43.621083333329594
2034630,43.09507499999629
2034932,30.03167948717579
2034933,23.28754166666289
Otariidae,10.50025705963344
