Echidnas,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata,634.6544213333302
Gnathostomata,486.22776681333016
Euteleostomi,432.9552881287852
Sarcopterygii,415.1914372509772
Dipnotetrapodomorpha,415.1914372509772
Tetrapoda,359.07544516969415
Amniota,323.8571566666632
Mammalia,182.52639583333018
Monotremata,49.17391249999686
Tachyglossidae,15.323258333330159
