Elephants,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333293
563254,939.3333333333293
Metazoa,939.3333333333293
Eumetazoa,939.3333333333293
564202,939.3333333333293
Bilateria,850.3327392156823
Deuterostomia,730.3111111111073
Chordata,736.3333333333293
Vertebrata,634.6544213333293
Gnathostomata,486.22776681332925
Euteleostomi,432.9552881287843
Sarcopterygii,415.19143725097626
Dipnotetrapodomorpha,415.19143725097626
Tetrapoda,359.07544516969324
Amniota,323.85715666666226
Mammalia,182.52639583332925
Theria,166.99876833332925
Eutheria,108.34299128204725
2039998,104.12661148147725
Afrotheria,86.62823809523405
2040000,68.63333333332926
Proboscidea,46.565582417578355
Elephantidae,21.721999999995955
Loxodonta,10.979999999995925
