Emu,mya
cellular organisms,4249.999999999999
16654,4249.999999999999
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333293
563254,939.3333333333293
Metazoa,939.3333333333293
Eumetazoa,939.3333333333293
564202,939.3333333333293
Bilateria,850.3327392156823
Deuterostomia,730.3111111111073
Chordata,736.3333333333293
Vertebrata,634.6544213333293
Gnathostomata,486.22776681332937
Euteleostomi,432.9552881287844
Sarcopterygii,415.1914372509764
Dipnotetrapodomorpha,415.1914372509764
Tetrapoda,359.0754451696934
Amniota,323.85715666666243
Sauria,281.10998724637244
Testudines + Archosauria group,255.92490701754042
Archosauria,241.67019874999642
Dinosauria,185.49056785138941
Coelurosauria,141.7947951357284
Aves,120.7966369696934
Palaeognathae,92.83333333332939
2009075,92.83333333332939
2009076,76.7333333333294
2009104,67.486867878784
Casuariiformes,34.66075555555159
Dromaius,18.99704444444049
Dromaius novaehollandiae,3.333333333329392
