Ferns,mya
cellular organisms,4250.000000000001
16654,4250.000000000001
Eukaryota,1765.3418838208606
Archaeplastida,1499.0395333333306
16685,1398.9007222222206
Chloroplastida,986.3333333333305
Streptophyta,757.1458473333305
Embryophyta,554.8835853333305
48507,518.4392558333305
Tracheophyta,435.0522522222195
Euphyllophyta,407.9247917948685
Moniliformopses,374.96791222221947
49109,349.6748499999975
Polypodiopsida,290.4565211111085
49367,279.57204190475954
49368,272.46204190475953
49369,263.33333333333053
core leptosporangiate ferns,263.33333333333053
49520,252.3333333333305
Polypodiales,252.3333333333305
49526,175.3894973333305
49527,172.2834973333305
49528,143.3333333333305
50257,101.13333333333048
eupolypods II,91.75986638888608
Aspleniaceae,67.94999999999709
