Fireflies,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Protostomia,747.3333333333297
Ecdysozoa,747.3333333333297
Panarthropoda,747.3333333333297
Arthropoda,673.0005333333297
Mandibulata,646.6913333333298
Pancrustacea,599.3333333333298
Hexapoda,498.4733333333298
673916,436.5833333333298
Insecta,405.3333333333298
Dicondylia,405.3333333333298
Pterygota (675903),405.3333333333298
Neoptera,370.2069916666628
Endopterygota,351.3333333333298
797707,304.6466999999968
797708,281.3333333333298
Coleoptera,263.8332658333298
Polyphaga,264.0833023333298
Elateriformia,264.0833023333298
806023,221.02559333332977
812664,203.44393833332978
Elateroidea,175.93890566666278
