Flamingos,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata (1993220),634.6544213333295
Gnathostomata,486.2277668133296
Euteleostomi,432.9552881287846
Sarcopterygii,415.1914372509766
Dipnotetrapodomorpha,415.1914372509766
Tetrapoda,359.0754451696936
Amniota,323.8571566666626
Sauria,281.1099872463726
Testudines + Archosauria group,255.92490701754062
Archosauria,241.67019874999662
Dinosauria,185.4905678513896
Coelurosauria,141.7947951357286
Aves,120.7966369696936
Neognathae,105.6097472179446
2009853,95.2307704564065
2023147,89.53333333332961
2023827,89.53333333332961
2023828,62.611158333329605
Phoenicopteridae,13.525973333329603
