Foxes,mya
cellular organisms,4249.999999999999
16654,4249.999999999999
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333293
563254,939.3333333333293
Metazoa,939.3333333333293
Eumetazoa,939.3333333333293
564202,939.3333333333293
Bilateria,850.3327392156823
Deuterostomia,730.3111111111073
Chordata,736.3333333333293
Vertebrata,634.6544213333293
Gnathostomata,486.22776681332937
Euteleostomi,432.9552881287844
Sarcopterygii,415.1914372509764
Dipnotetrapodomorpha,415.1914372509764
Tetrapoda,359.07544516969335
Amniota,323.8571566666624
Mammalia,182.52639583332936
Theria,166.99876833332937
Eutheria,108.34299128204736
Boreoeutheria,100.78521379084576
Laurasiatheria,92.76544166666265
2034426,85.20914761904365
2034427,81.72584999999604
2034428,80.34703333332935
2034429,79.49026333332935
Carnivora,58.29354678160526
Caniformia,49.08976770175046
Canidae,13.636238110252464
Vulpes,9.495586451847885
