Frog,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata,634.6544213333302
Gnathostomata,486.2277668133303
Euteleostomi,432.9552881287853
Sarcopterygii,415.1914372509773
Dipnotetrapodomorpha,415.1914372509773
Tetrapoda,359.0754451696943
Amphibia,327.78554333333034
Batrachia,300.9285833333303
Anura,219.7656289167013
Neobatrachia,159.3318238596463
2041928,141.0738066666633
2041929,118.28201395833031
Ranoidea,90.3154323369239
Ranidae,49.869907133835305
Rana,33.6032539555525
Rana subgenus Rana,20.924995021161003
Rana temporaria,3.3333333333303017
