Gazelle,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata,634.65442133333
Gnathostomata,486.22776681332994
Euteleostomi,432.95528812878496
Sarcopterygii,415.19143725097695
Dipnotetrapodomorpha,415.19143725097695
Tetrapoda,359.0754451696939
Amniota,323.85715666666295
Mammalia,182.52639583332996
Theria,166.99876833332996
Eutheria,108.34299128204795
Boreoeutheria,100.78521379084634
Laurasiatheria,92.76544166666324
2034426,85.20914761904423
2034427,81.72584999999663
Cetartiodactyla,68.14305874999664
2036554,66.83969999999664
2036555,59.657359259255834
Ruminantia,50.430699999996634
Pecora,32.16298333332993
2037538,29.333333333329932
2037539,29.333333333329932
Bovidae,23.11500800793313
Antilopinae,22.13333333332993
2037549,20.93238083332993
2037550,20.033333333329928
2037566,19.66673333332993
2037567,12.71233333332993
2037568,12.29129999999659
2037569,9.5151069999966
Gazella,5.3609840370336315
